doenca_cid;faixa_etaria;internacoes;media_permanencia;tx_mortalidade;media_perm_macro;tx_mort_macro;melhor_hospital;tx_mort_melhor_hosp
Neoplasias (tumores);60 a 69 anos;12283.0;4.7;7.58;5.425;6.38;HOSPITAL DE CANCER DE PERNAMBUCO;8.87
Neoplasias (tumores);70 a 79 anos;8694.0;4.5;9.17;5.95;9.8575;HOSPITAL DE CANCER DE PERNAMBUCO;8.87
Neoplasias (tumores);80 anos e mais;3404.0;4.1;11.9;6.5;15.62;HOSPITAL DE CANCER DE PERNAMBUCO;8.87
Neoplasias (tumores);Menor 1 ano;157.0;5.1;3.18;5.4;1.7675;HOSPITAL DE CANCER DE PERNAMBUCO;8.87
Sint sinais e achad anorm ex clín e laborat;1 a 4 anos;581.0;2.3;0.52;4.05;0.4775;HOSPITAL OTAVIO DE FREITAS;6.99
Sint sinais e achad anorm ex clín e laborat;10 a 14 anos;453.0;2.8;0.88;3.275;0.47;HOSPITAL OTAVIO DE FREITAS;6.99
Sint sinais e achad anorm ex clín e laborat;15 a 19 anos;698.0;3.1;1.29;3.05;0.47250000000000003;HOSPITAL OTAVIO DE FREITAS;6.99
Sint sinais e achad anorm ex clín e laborat;20 a 29 anos;1803.0;3.5;1.44;3.25;0.5225;HOSPITAL OTAVIO DE FREITAS;6.99
Sint sinais e achad anorm ex clín e laborat;30 a 39 anos;1860.0;3.8;2.47;3.6999999999999997;1.095;HOSPITAL OTAVIO DE FREITAS;6.99
Sint sinais e achad anorm ex clín e laborat;40 a 49 anos;2456.0;4.4;4.36;4.575;2.525;HOSPITAL OTAVIO DE FREITAS;6.99
Sint sinais e achad anorm ex clín e laborat;5 a 9 anos;516.0;2.3;0.58;3.125;0.4675;HOSPITAL OTAVIO DE FREITAS;6.99
Sint sinais e achad anorm ex clín e laborat;50 a 59 anos;2949.0;4.9;6.04;5.175;4.245;HOSPITAL OTAVIO DE FREITAS;6.99
Sint sinais e achad anorm ex clín e laborat;60 a 69 anos;2915.0;5.6;8.95;5.425;6.38;HOSPITAL OTAVIO DE FREITAS;6.99
Sint sinais e achad anorm ex clín e laborat;70 a 79 anos;2473.0;5.8;13.87;5.95;9.8575;HOSPITAL OTAVIO DE FREITAS;6.99
Sint sinais e achad anorm ex clín e laborat;80 anos e mais;1892.0;5.7;18.13;6.5;15.62;HOSPITAL OTAVIO DE FREITAS;6.99
Sint sinais e achad anorm ex clín e laborat;Menor 1 ano;781.0;2.2;1.66;5.4;1.7675;HOSPITAL OTAVIO DE FREITAS;6.99
Transtornos mentais e comportamentais;1 a 4 anos;14.0;3.3;0.0;4.05;0.4775;HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO;0.22
Transtornos mentais e comportamentais;10 a 14 anos;179.0;5.7;0.0;3.275;0.47;HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO;0.22
Transtornos mentais e comportamentais;15 a 19 anos;638.0;7.8;0.0;3.05;0.47250000000000003;HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO;0.22
Transtornos mentais e comportamentais;20 a 29 anos;2137.0;13.0;0.28;3.25;0.5225;HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO;0.22
Transtornos mentais e comportamentais;30 a 39 anos;2361.0;13.3;0.21;3.6999999999999997;1.095;HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO;0.22
Transtornos mentais e comportamentais;40 a 49 anos;2108.0;16.0;0.28;4.575;2.525;HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO;0.22
Transtornos mentais e comportamentais;5 a 9 anos;31.0;0.8;0.0;3.125;0.4675;HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO;0.22
Transtornos mentais e comportamentais;50 a 59 anos;1414.0;15.7;0.42;5.175;4.245;HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO;0.22
Transtornos mentais e comportamentais;60 a 69 anos;788.0;12.8;1.02;5.425;6.38;HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO;0.22
Transtornos mentais e comportamentais;70 a 79 anos;202.0;12.8;2.48;5.95;9.8575;HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO;0.22
Transtornos mentais e comportamentais;80 anos e mais;107.0;11.2;14.02;6.5;15.62;HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO;0.22
Transtornos mentais e comportamentais;Menor 1 ano;1.0;5.0;0.0;5.4;1.7675;HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO;0.22
